page,country,articlequality,FIPS,Name,Type,TimeFrame,Data (M),Population
Julius Gregr,Czech Republic,,,,,,,
Edvard Gregr,Czech Republic,,,,,,,
Miroslav Poche,Czech Republic,,,,,,,
Vojtěch Mynář,Czech Republic,,,,,,,
Jan Malypetr,Czech Republic,,,,,,,
Emanuel Moravec,Czech Republic,,,,,,,
Vladimír Hučín,Czech Republic,,,,,,,
Pavla Topolánková,Czech Republic,,,,,,,
Josef Barák,Czech Republic,,,,,,,
Antonín Švehla,Czech Republic,,,,,,,
Jakob Marzel Sternberger,Czech Republic,,,,,,,
Alois Anderka,Czech Republic,,,,,,,
Ivan Dejmal,Czech Republic,,,,,,,
Franz Macoun,Czech Republic,,,,,,,
Karel Urbánek,Czech Republic,,,,,,,
Vladimír Klokočka,Czech Republic,,,,,,,
Jaromír Jermář,Czech Republic,,,,,,,
Artur London,Czech Republic,,,,,,,
František Sláma (politician),Czech Republic,,,,,,,
Jan Kubice,Czech Republic,,,,,,,
Kamil Jankovský,Czech Republic,,,,,,,
Václav Vacek,Czech Republic,,,,,,,
Čestmír Císař,Czech Republic,,,,,,,
Luca Rovinalti,Czech Republic,,,,,,,
Kamil Krofta,Czech Republic,,,,,,,
Milan Štěch,Czech Republic,,,,,,,
Antonín Janoušek,Czech Republic,,,,,,,
Bedřich Geminder,Czech Republic,,,,,,,
Karel Domin,Czech Republic,,,,,,,
Hubert Ripka,Czech Republic,,,,,,,
Tomáš Eduard Šilinger,Czech Republic,,,,,,,
Petr Janyška,Czech Republic,,,,,,,
Jana Juřenčáková,Czech Republic,,,,,,,
Jaromír Nečas,Czech Republic,,,,,,,
Siegfried Taub,Czech Republic,,,,,,,
Záviš Kalandra,Czech Republic,,,,,,,
Alois Rašín,Czech Republic,,,,,,,
Bedřich Reicin,Czech Republic,,,,,,,
Bernd Richter,Czech Republic,,,,,,,
Kamil Kalina,Czech Republic,,,,,,,
Richard Sacher,Czech Republic,,,,,,,
Václav Fischer,Czech Republic,,,,,,,
Božena Viková-Kunětická,Czech Republic,,,,,,,
Mikuláš of Hus,Czech Republic,,,,,,,
Gertruda Sekaninová-Čakrtová,Czech Republic,,,,,,,
Petr Mlsna,Czech Republic,,,,,,,
Antonín Cyril Stojan,Czech Republic,,,,,,,
František Kubka,Czech Republic,,,,,,,
Josef Pfitzner,Czech Republic,,,,,,,
Vladimír Franz,Czech Republic,,,,,,,
Jan Stocklassa,Czech Republic,,,,,,,
Jaroslav Krejčí,Czech Republic,,,,,,,
Libuše Benešová,Czech Republic,,,,,,,
Daniela Filipiová,Czech Republic,,,,,,,
Moses Porges von Portheim,Czech Republic,,,,,,,
Jan Kasl,Czech Republic,,,,,,,
Jiří Kittner,Czech Republic,,,,,,,
Miloslav Vlček,Czech Republic,,,,,,,
Ivo Svoboda (politician),Czech Republic,,,,,,,
Hana Orgoníková,Czech Republic,,,,,,,
Pavel Dostál,Czech Republic,,,,,,,
Jiří Lobkowicz,Czech Republic,,,,,,,
Bohuslav Kokotek,Czech Republic,,,,,,,
Alena Hanáková,Czech Republic,,,,,,,
Irena Kočí,Czech Republic,,,,,,,
Martin Netolický,Czech Republic,,,,,,,
David Rath,Czech Republic,,,,,,,
Eva Nováková,Czech Republic,,,,,,,
Vojtěch Adam,Czech Republic,,,,,,,
Vlastimil Balín,Czech Republic,,,,,,,
Jiří Dolejš,Czech Republic,,,,,,,
Zuzka Bebarová-Rujbrová,Czech Republic,,,,,,,
Marie Stiborová,Czech Republic,,,,,,,
Jiří Svoboda (politician),Czech Republic,,,,,,,
Miloslava Vostrá,Czech Republic,,,,,,,
Jiří Čeřovský,Czech Republic,,,,,,,
Jan Korger,Czech Republic,,,,,,,
Kateřina Jacques,Czech Republic,,,,,,,
Tomáš Chalupa,Czech Republic,,,,,,,
Pavel Blažek,Czech Republic,,,,,,,
Aleš Řebíček,Czech Republic,,,,,,,
Ivan Langer,Czech Republic,,,,,,,
Jan Stráský,Czech Republic,,,,,,,
Jan Chvojka,Czech Republic,,,,,,,
Marie Benešová,Czech Republic,,,,,,,
Juraj Chmiel,Czech Republic,,,,,,,
Daniela Kovářová,Czech Republic,,,,,,,
Rostislav Vondruška,Czech Republic,,,,,,,
Martin Štěpánek (actor),Czech Republic,,,,,,,
Helena Třeštíková,Czech Republic,,,,,,,
Milena Vicenová,Czech Republic,,,,,,,
Jaroslav Bašta,Czech Republic,,,,,,,
Josef Lux,Czech Republic,,,,,,,
Miroslav Macek,Czech Republic,,,,,,,
Ladislav Miko,Czech Republic,,,,,,,
Džamila Stehlíková,Czech Republic,,,,,,,
Jozef Moravčík,Czech Republic,,,,,,,
Milan Uhde,Czech Republic,,,,,,,
František Pitra,Czech Republic,,,,,,,
Oldřich Černík,Czech Republic,,,,,,,
Otakar Motejl,Czech Republic,,,,,,,
Ludwig Czech,Czech Republic,,,,,,,
Rudolf Beran,Czech Republic,,,,,,,
Victor Adler,Czech Republic,,,,,,,
Emil Beier,Czech Republic,,,,,,,
Bruno Kafka,Czech Republic,,,,,,,
Lucie Talmanová,Czech Republic,,,,,,,
Martin Mejstřík,Czech Republic,,,,,,,
Vlastimil Tusar,Czech Republic,,,,,,,
Petr Bendl,Czech Republic,,,,,,,
Petr Gandalovič,Czech Republic,,,,,,,
Tomáš Vandas,Czech Republic,,,,,,,
Robert Mayr-Harting,Czech Republic,,,,,,,
Karel Havlíček Borovský,Czech Republic,,,,,,,
Jan Černý,Czech Republic,,,,,,,
Josef Frank (politician),Czech Republic,,,,,,,
